,Respondent,LanguageWorkedWith
2084,5031,C#
2084,5031,SQL
2085,5034,HTML/CSS
2085,5034,Java
2085,5034,JavaScript
2085,5034,Python
2085,5034,SQL
2086,5035,Bash/Shell/PowerShell
2086,5035,Java
2086,5035,SQL
2087,5046,Assembly
2087,5046,HTML/CSS
2087,5046,Java
2087,5046,JavaScript
2087,5046,SQL
2087,5046,TypeScript
2088,5047,Python
2088,5047,SQL
2089,5049,HTML/CSS
2089,5049,Java
2089,5049,JavaScript
2089,5049,Kotlin
2089,5049,Objective-C
2089,5049,Ruby
2089,5049,Swift
2090,5050,C#
2090,5050,Java
2090,5050,Objective-C
2091,5051,Bash/Shell/PowerShell
2091,5051,HTML/CSS
2091,5051,Java
2091,5051,JavaScript
2091,5051,Scala
2091,5051,SQL
2091,5051,TypeScript
2092,5057,Bash/Shell/PowerShell
2092,5057,HTML/CSS
2092,5057,Java
2092,5057,JavaScript
2092,5057,SQL
2093,5060,HTML/CSS
2093,5060,Java
2093,5060,JavaScript
2093,5060,Python
2093,5060,SQL
2094,5061,HTML/CSS
2094,5061,JavaScript
2094,5061,PHP
2094,5061,SQL
2095,5064,Assembly
2095,5064,Dart
2095,5064,Go
2095,5064,Python
2095,5064,Scala
2095,5064,WebAssembly
2096,5066,Bash/Shell/PowerShell
2096,5066,HTML/CSS
2096,5066,JavaScript
2096,5066,Python
2096,5066,SQL
2097,5067,Bash/Shell/PowerShell
2097,5067,HTML/CSS
2097,5067,Java
2097,5067,PHP
2098,5070,Bash/Shell/PowerShell
2098,5070,Java
2098,5070,JavaScript
2098,5070,Python
2099,5075,Bash/Shell/PowerShell
2099,5075,C#
2099,5075,Go
2099,5075,HTML/CSS
2099,5075,JavaScript
2099,5075,Python
2099,5075,SQL
2099,5075,TypeScript
2100,5076,C
2100,5076,C++
2100,5076,Go
2100,5076,Java
2100,5076,Ruby
2100,5076,SQL
2101,5077,C#
2101,5077,HTML/CSS
2101,5077,JavaScript
2101,5077,SQL
2102,5078,Bash/Shell/PowerShell
2102,5078,C#
2102,5078,Go
2102,5078,Scala
2102,5078,TypeScript
2103,5082,Bash/Shell/PowerShell
2103,5082,HTML/CSS
2103,5082,Java
2103,5082,JavaScript
2103,5082,SQL
2103,5082,TypeScript
2104,5083,Bash/Shell/PowerShell
2104,5083,JavaScript
2104,5083,Python
2105,5086,Java
2105,5086,JavaScript
2105,5086,Scala
2105,5086,SQL
2106,5087,Bash/Shell/PowerShell
2106,5087,PHP
2106,5087,Python
2107,5088,Bash/Shell/PowerShell
2107,5088,HTML/CSS
2107,5088,JavaScript
2107,5088,Objective-C
2107,5088,Python
2107,5088,SQL
2107,5088,TypeScript
2108,5092,Bash/Shell/PowerShell
2108,5092,Clojure
2108,5092,Go
2108,5092,HTML/CSS
2108,5092,Java
2108,5092,JavaScript
2108,5092,Kotlin
2108,5092,Objective-C
2108,5092,Python
2108,5092,Rust
2108,5092,SQL
2108,5092,Swift
2108,5092,TypeScript
2109,5096,C#
2109,5096,SQL
2110,5097,Bash/Shell/PowerShell
2110,5097,C++
2110,5097,C#
2110,5097,HTML/CSS
2110,5097,JavaScript
2110,5097,SQL
2110,5097,TypeScript
2111,5100,Bash/Shell/PowerShell
2111,5100,JavaScript
2111,5100,PHP
2111,5100,Python
2111,5100,SQL
2111,5100,Other(s):
2112,5103,Bash/Shell/PowerShell
2112,5103,HTML/CSS
2112,5103,Java
2112,5103,JavaScript
2112,5103,Ruby
2112,5103,SQL
2112,5103,TypeScript
2113,5104,Bash/Shell/PowerShell
2113,5104,C#
2113,5104,HTML/CSS
2113,5104,JavaScript
2113,5104,SQL
2113,5104,TypeScript
2114,5107,Other(s):
2115,5109,Bash/Shell/PowerShell
2115,5109,C
2115,5109,HTML/CSS
2115,5109,Java
2115,5109,JavaScript
2115,5109,Objective-C
2116,5110,HTML/CSS
2116,5110,Python
2117,5111,HTML/CSS
2117,5111,JavaScript
2117,5111,PHP
2117,5111,SQL
2118,5112,C#
2118,5112,HTML/CSS
2118,5112,Java
2118,5112,JavaScript
2118,5112,SQL
2119,5113,C#
2119,5113,HTML/CSS
2119,5113,JavaScript
2119,5113,SQL
2120,5114,Bash/Shell/PowerShell
2120,5114,C#
2120,5114,HTML/CSS
2120,5114,JavaScript
2120,5114,SQL
2121,5116,Python
2121,5116,SQL
2122,5119,C++
2122,5119,C#
2122,5119,SQL
2123,5123,C#
2123,5123,HTML/CSS
2123,5123,Java
2123,5123,JavaScript
2123,5123,PHP
2123,5123,SQL
2123,5123,TypeScript
2123,5123,VBA
2124,5124,Bash/Shell/PowerShell
2124,5124,C#
2124,5124,Elixir
2124,5124,Kotlin
2124,5124,Ruby
2124,5124,SQL
2125,5125,C++
2125,5125,C#
2125,5125,HTML/CSS
2125,5125,Java
2125,5125,JavaScript
2125,5125,SQL
2126,5127,Java
2126,5127,JavaScript
2126,5127,SQL
2127,5130,Bash/Shell/PowerShell
2127,5130,C
2127,5130,Java
2127,5130,JavaScript
2127,5130,Python
2127,5130,Scala
2127,5130,SQL
2127,5130,TypeScript
2128,5132,C#
2128,5132,HTML/CSS
2128,5132,JavaScript
2128,5132,Python
2128,5132,Ruby
2129,5138,HTML/CSS
2129,5138,JavaScript
2129,5138,Python
2129,5138,SQL
2130,5139,Bash/Shell/PowerShell
2130,5139,C#
2130,5139,HTML/CSS
2130,5139,TypeScript
2131,5140,HTML/CSS
2131,5140,Java
2131,5140,JavaScript
2131,5140,Python
2131,5140,SQL
2131,5140,WebAssembly
2132,5143,HTML/CSS
2132,5143,JavaScript
2132,5143,PHP
2132,5143,Python
2132,5143,SQL
2133,5144,Bash/Shell/PowerShell
2133,5144,C#
2133,5144,HTML/CSS
2133,5144,Java
2133,5144,JavaScript
2133,5144,Python
2133,5144,SQL
2134,5148,C#
2134,5148,HTML/CSS
2134,5148,JavaScript
2134,5148,SQL
2135,5150,C#
2135,5150,HTML/CSS
2135,5150,JavaScript
2135,5150,Python
2135,5150,TypeScript
2136,5153,Java
2136,5153,JavaScript
2136,5153,Kotlin
2136,5153,SQL
2137,5154,Bash/Shell/PowerShell
2137,5154,Java
2138,5155,C
2138,5155,Dart
2138,5155,HTML/CSS
2138,5155,JavaScript
2138,5155,PHP
2138,5155,SQL
2139,5156,C#
2139,5156,HTML/CSS
2139,5156,JavaScript
2139,5156,PHP
2139,5156,SQL
2139,5156,VBA
2140,5160,Java
2140,5160,JavaScript
2141,5161,Bash/Shell/PowerShell
2141,5161,C
2141,5161,C++
2141,5161,Go
2141,5161,HTML/CSS
2141,5161,Java
2141,5161,JavaScript
2141,5161,Kotlin
2141,5161,Ruby
2141,5161,SQL
2141,5161,Swift
2142,5162,HTML/CSS
2142,5162,JavaScript
2142,5162,Kotlin
2142,5162,PHP
2142,5162,SQL
2143,5163,C++
2143,5163,HTML/CSS
2143,5163,JavaScript
2143,5163,Python
2144,5167,C#
2144,5167,HTML/CSS
2144,5167,JavaScript
2144,5167,SQL
2145,5170,C#
2145,5170,Go
2145,5170,HTML/CSS
2145,5170,JavaScript
2145,5170,Python
2145,5170,SQL
2146,5173,Bash/Shell/PowerShell
2146,5173,C#
2146,5173,HTML/CSS
2146,5173,PHP
2146,5173,Rust
2146,5173,SQL
2146,5173,TypeScript
2147,5174,HTML/CSS
2147,5174,JavaScript
2147,5174,PHP
2147,5174,SQL
2147,5174,TypeScript
2148,5181,HTML/CSS
2148,5181,Java
2148,5181,JavaScript
2148,5181,Ruby
2148,5181,SQL
2149,5183,C#
2149,5183,F#
2149,5183,HTML/CSS
2149,5183,Other(s):
2150,5188,Bash/Shell/PowerShell
2150,5188,C++
2150,5188,C#
2150,5188,Go
2150,5188,HTML/CSS
2150,5188,JavaScript
2150,5188,Python
2150,5188,SQL
2150,5188,TypeScript
2151,5189,HTML/CSS
2151,5189,JavaScript
2151,5189,TypeScript
2152,5190,Java
2152,5190,Kotlin
2153,5193,HTML/CSS
2153,5193,JavaScript
2153,5193,PHP
2153,5193,SQL
2154,5194,Bash/Shell/PowerShell
2154,5194,Python
2154,5194,Other(s):
2155,5197,Bash/Shell/PowerShell
2155,5197,C#
2155,5197,HTML/CSS
2155,5197,JavaScript
2155,5197,PHP
2155,5197,SQL
2155,5197,TypeScript
2156,5199,HTML/CSS
2156,5199,JavaScript
2156,5199,Python
2156,5199,R
2157,5201,C++
2157,5201,HTML/CSS
2157,5201,JavaScript
2157,5201,TypeScript
2158,5202,JavaScript
2158,5202,Python
2159,5205,HTML/CSS
2159,5205,JavaScript
2159,5205,Python
2159,5205,Ruby
2159,5205,Swift
2160,5206,Bash/Shell/PowerShell
2160,5206,HTML/CSS
2160,5206,JavaScript
2160,5206,PHP
2161,5210,Bash/Shell/PowerShell
2161,5210,C
2161,5210,Go
2161,5210,HTML/CSS
2161,5210,Java
2161,5210,JavaScript
2161,5210,Python
2161,5210,SQL
2161,5210,VBA
2162,5211,Bash/Shell/PowerShell
2162,5211,Elixir
2162,5211,Go
2162,5211,HTML/CSS
2162,5211,JavaScript
2162,5211,PHP
2162,5211,Python
2162,5211,Ruby
2162,5211,SQL
2163,5214,Bash/Shell/PowerShell
2163,5214,HTML/CSS
2163,5214,Java
2163,5214,JavaScript
2163,5214,Kotlin
2163,5214,SQL
2163,5214,TypeScript
2164,5220,C#
2164,5220,HTML/CSS
2164,5220,JavaScript
2164,5220,SQL
2164,5220,TypeScript
2165,5222,Java
2165,5222,JavaScript
2165,5222,Kotlin
2165,5222,TypeScript
2166,5223,C++
2166,5223,C#
2166,5223,VBA
2167,5224,Bash/Shell/PowerShell
2167,5224,Python
2167,5224,SQL
2168,5227,Assembly
2168,5227,HTML/CSS
2168,5227,JavaScript
2168,5227,Kotlin
2168,5227,Objective-C
2168,5227,Python
2168,5227,SQL
2168,5227,Swift
2168,5227,TypeScript
2169,5230,Bash/Shell/PowerShell
2169,5230,C#
2169,5230,HTML/CSS
2169,5230,JavaScript
2169,5230,PHP
2169,5230,Python
2170,5234,C#
2170,5234,HTML/CSS
2170,5234,JavaScript
2170,5234,Python
2170,5234,SQL
2171,5242,C#
2171,5242,HTML/CSS
2171,5242,TypeScript
2172,5244,C#
2172,5244,JavaScript
2172,5244,SQL
2173,5245,Elixir
2173,5245,JavaScript
2173,5245,Ruby
2174,5247,C#
2174,5247,HTML/CSS
2174,5247,JavaScript
2174,5247,TypeScript
2175,5250,Bash/Shell/PowerShell
2175,5250,Java
2175,5250,Python
2176,5251,Bash/Shell/PowerShell
2176,5251,C
2176,5251,Java
2176,5251,Python
2176,5251,R
2176,5251,Scala
2176,5251,SQL
2177,5258,Bash/Shell/PowerShell
2177,5258,Java
2177,5258,Python
2178,5259,Bash/Shell/PowerShell
2178,5259,Java
2178,5259,JavaScript
2178,5259,Kotlin
2179,5260,Bash/Shell/PowerShell
2179,5260,C++
2179,5260,C#
2179,5260,HTML/CSS
2179,5260,Java
2179,5260,JavaScript
2179,5260,Kotlin
2179,5260,PHP
2179,5260,Python
2179,5260,SQL
2180,5261,Erlang
2180,5261,Java
2180,5261,SQL
2181,5263,C
2181,5263,C++
2181,5263,Elixir
2181,5263,Erlang
2181,5263,JavaScript
2181,5263,Kotlin
2181,5263,Python
2181,5263,WebAssembly
2182,5266,Bash/Shell/PowerShell
2182,5266,C#
2182,5266,HTML/CSS
2182,5266,JavaScript
2182,5266,SQL
2182,5266,TypeScript
2183,5267,Bash/Shell/PowerShell
2183,5267,Java
2183,5267,JavaScript
2183,5267,Python
2183,5267,SQL
2184,5270,Bash/Shell/PowerShell
2184,5270,C
2184,5270,C++
2184,5270,C#
2184,5270,Go
2184,5270,HTML/CSS
2184,5270,Java
2184,5270,JavaScript
2184,5270,Kotlin
2184,5270,PHP
2184,5270,Python
2184,5270,Ruby
2184,5270,Scala
2184,5270,SQL
2184,5270,TypeScript
2184,5270,VBA
2185,5271,Java
2185,5271,Kotlin
2185,5271,SQL
2186,5276,Dart
2186,5276,HTML/CSS
2186,5276,Java
2186,5276,JavaScript
2186,5276,TypeScript
2187,5278,HTML/CSS
2187,5278,JavaScript
2187,5278,PHP
2188,5279,Bash/Shell/PowerShell
2188,5279,C#
2188,5279,HTML/CSS
2188,5279,JavaScript
2188,5279,Other(s):
2189,5280,Bash/Shell/PowerShell
2189,5280,C
2189,5280,C++
2189,5280,HTML/CSS
2189,5280,Java
2189,5280,JavaScript
2189,5280,PHP
2189,5280,Python
2189,5280,Ruby
2189,5280,SQL
2190,5281,C
2190,5281,C#
2190,5281,HTML/CSS
2190,5281,Java
2190,5281,JavaScript
2191,5288,C++
2191,5288,HTML/CSS
2191,5288,JavaScript
2191,5288,Python
2191,5288,SQL
2192,5297,C#
2192,5297,Java
2192,5297,Kotlin
2192,5297,Ruby
2192,5297,SQL
2193,5298,HTML/CSS
2193,5298,JavaScript
2194,5304,C#
2194,5304,JavaScript
2194,5304,SQL
2195,5305,Python
2195,5305,R
2195,5305,VBA
2196,5309,Bash/Shell/PowerShell
2196,5309,C++
2196,5309,Java
2196,5309,JavaScript
2196,5309,Python
2196,5309,SQL
2197,5312,Bash/Shell/PowerShell
2197,5312,Go
2197,5312,HTML/CSS
2197,5312,Java
2197,5312,JavaScript
2197,5312,Kotlin
2197,5312,SQL
2198,5318,Java
2198,5318,Objective-C
2198,5318,Swift
2199,5319,C#
2200,5321,Bash/Shell/PowerShell
2200,5321,Java
2200,5321,JavaScript
2200,5321,TypeScript
2201,5322,C#
2201,5322,HTML/CSS
2201,5322,JavaScript
2201,5322,PHP
2201,5322,SQL
2201,5322,TypeScript
2202,5324,C#
2202,5324,HTML/CSS
2202,5324,JavaScript
2202,5324,TypeScript
2203,5325,Bash/Shell/PowerShell
2203,5325,HTML/CSS
2203,5325,JavaScript
2203,5325,PHP
2203,5325,SQL
2204,5328,HTML/CSS
2204,5328,JavaScript
2204,5328,PHP
2204,5328,SQL
2205,5335,C#
2205,5335,JavaScript
2205,5335,SQL
2205,5335,Other(s):
2206,5339,HTML/CSS
2206,5339,JavaScript
2206,5339,SQL
2207,5347,Bash/Shell/PowerShell
2207,5347,PHP
2207,5347,SQL
2208,5349,Bash/Shell/PowerShell
2208,5349,HTML/CSS
2208,5349,Java
2208,5349,JavaScript
2208,5349,Python
2208,5349,SQL
2209,5350,Bash/Shell/PowerShell
2209,5350,Go
2209,5350,Python
2209,5350,Rust
2210,5353,C++
2210,5353,HTML/CSS
2210,5353,Java
2210,5353,JavaScript
2210,5353,Kotlin
2210,5353,Ruby
2210,5353,TypeScript
2211,5354,Bash/Shell/PowerShell
2211,5354,HTML/CSS
2211,5354,JavaScript
2211,5354,Python
2211,5354,R
2211,5354,SQL
2211,5354,VBA
2212,5361,Bash/Shell/PowerShell
2212,5361,Clojure
2212,5361,HTML/CSS
2212,5361,Java
2212,5361,JavaScript
2213,5363,Elixir
2213,5363,HTML/CSS
2213,5363,JavaScript
2213,5363,Ruby
2213,5363,TypeScript
2214,5365,Bash/Shell/PowerShell
2214,5365,Java
2215,5366,Bash/Shell/PowerShell
2215,5366,HTML/CSS
2215,5366,Java
2215,5366,Python
2216,5370,Bash/Shell/PowerShell
2216,5370,Java
2216,5370,JavaScript
2217,5371,C#
2217,5371,HTML/CSS
2217,5371,Java
2217,5371,JavaScript
2217,5371,PHP
2217,5371,SQL
2218,5372,HTML/CSS
2218,5372,Java
2218,5372,JavaScript
2218,5372,Python
2219,5376,HTML/CSS
2219,5376,Java
2219,5376,JavaScript
2219,5376,Scala
2220,5378,HTML/CSS
2220,5378,JavaScript
2220,5378,Objective-C
2220,5378,Python
2221,5380,Bash/Shell/PowerShell
2221,5380,C#
2221,5380,Objective-C
2221,5380,Ruby
2221,5380,SQL
2221,5380,Swift
2222,5383,JavaScript
2222,5383,Objective-C
2223,5385,Bash/Shell/PowerShell
2223,5385,C#
2223,5385,SQL
2223,5385,Other(s):
2224,5386,C#
2224,5386,HTML/CSS
2224,5386,JavaScript
2224,5386,SQL
2225,5388,Bash/Shell/PowerShell
2225,5388,Elixir
2225,5388,Erlang
2225,5388,HTML/CSS
2225,5388,JavaScript
2225,5388,Python
2225,5388,R
2225,5388,SQL
2226,5390,Bash/Shell/PowerShell
2226,5390,HTML/CSS
2226,5390,JavaScript
2226,5390,Python
2226,5390,SQL
2226,5390,Other(s):
2227,5397,Bash/Shell/PowerShell
2227,5397,HTML/CSS
2227,5397,JavaScript
2227,5397,PHP
2227,5397,Ruby
2227,5397,SQL
2228,5398,Bash/Shell/PowerShell
2228,5398,Java
2228,5398,JavaScript
2228,5398,Objective-C
2228,5398,Python
2228,5398,Scala
2228,5398,SQL
2229,5402,Other(s):
2230,5406,Bash/Shell/PowerShell
2230,5406,C#
2230,5406,Java
2230,5406,Python
2230,5406,SQL
2231,5410,C++
2231,5410,HTML/CSS
2231,5410,Java
2231,5410,JavaScript
2231,5410,PHP
2231,5410,Python
2231,5410,Ruby
2231,5410,SQL
2232,5412,Bash/Shell/PowerShell
2232,5412,JavaScript
2233,5415,C
2233,5415,C++
2233,5415,C#
2233,5415,HTML/CSS
2233,5415,JavaScript
2233,5415,SQL
2233,5415,TypeScript
2233,5415,Other(s):
2234,5418,HTML/CSS
2234,5418,JavaScript
2234,5418,SQL
2235,5419,
2236,5422,Java
2236,5422,SQL
2236,5422,Other(s):
2237,5427,Java
2237,5427,Kotlin
2238,5433,Bash/Shell/PowerShell
2238,5433,Go
2238,5433,HTML/CSS
2238,5433,JavaScript
2238,5433,PHP
2238,5433,SQL
2239,5435,HTML/CSS
2239,5435,JavaScript
2239,5435,Python
2239,5435,TypeScript
2240,5438,HTML/CSS
2240,5438,Java
2240,5438,JavaScript
2241,5443,Bash/Shell/PowerShell
2241,5443,C
2241,5443,C++
2241,5443,HTML/CSS
2241,5443,Java
2241,5443,JavaScript
2241,5443,PHP
2241,5443,Python
2241,5443,R
2241,5443,Ruby
2241,5443,SQL
2241,5443,VBA
2242,5446,Bash/Shell/PowerShell
2242,5446,C++
2242,5446,C#
2242,5446,HTML/CSS
2242,5446,JavaScript
2242,5446,PHP
2242,5446,SQL
2242,5446,Swift
2242,5446,Other(s):
2243,5447,Bash/Shell/PowerShell
2243,5447,HTML/CSS
2243,5447,JavaScript
2243,5447,Python
2244,5450,C#
2244,5450,HTML/CSS
2244,5450,Java
2244,5450,JavaScript
2244,5450,SQL
2245,5451,C#
2245,5451,HTML/CSS
2245,5451,JavaScript
2245,5451,SQL
2246,5453,C#
2246,5453,HTML/CSS
2246,5453,JavaScript
2246,5453,PHP
2246,5453,SQL
2246,5453,TypeScript
2247,5454,HTML/CSS
2247,5454,JavaScript
2247,5454,PHP
2247,5454,Python
2247,5454,SQL
2248,5457,HTML/CSS
2248,5457,JavaScript
2248,5457,PHP
2248,5457,TypeScript
2249,5460,Java
2249,5460,Scala
2249,5460,Swift
2250,5463,Bash/Shell/PowerShell
2250,5463,C#
2250,5463,HTML/CSS
2250,5463,JavaScript
2250,5463,SQL
2250,5463,TypeScript
2251,5469,C#
2251,5469,Java
2251,5469,JavaScript
2251,5469,SQL
2252,5470,C#
2252,5470,HTML/CSS
2252,5470,JavaScript
2252,5470,SQL
2252,5470,TypeScript
2253,5472,C#
2253,5472,HTML/CSS
2253,5472,Java
2253,5472,JavaScript
2253,5472,Objective-C
2253,5472,Python
2253,5472,Swift
2253,5472,TypeScript
2254,5473,Bash/Shell/PowerShell
2254,5473,C++
2254,5473,HTML/CSS
2254,5473,Java
2254,5473,JavaScript
2254,5473,Objective-C
2254,5473,Ruby
2254,5473,Swift
2255,5474,Go
2255,5474,HTML/CSS
2255,5474,Java
2255,5474,JavaScript
2255,5474,PHP
2255,5474,Python
2255,5474,R
2255,5474,SQL
2255,5474,TypeScript
2255,5474,VBA
2256,5478,Bash/Shell/PowerShell
2256,5478,Elixir
2256,5478,HTML/CSS
2256,5478,JavaScript
2256,5478,SQL
2256,5478,TypeScript
2257,5487,C#
2257,5487,Java
2257,5487,JavaScript
2257,5487,Objective-C
2257,5487,PHP
2257,5487,SQL
2257,5487,Swift
2258,5492,HTML/CSS
2258,5492,JavaScript
2258,5492,Ruby
2259,5493,HTML/CSS
2259,5493,JavaScript
2259,5493,Swift
2260,5496,Go
2260,5496,HTML/CSS
2260,5496,Java
2260,5496,JavaScript
2260,5496,PHP
2260,5496,Python
2260,5496,Scala
2260,5496,SQL
2260,5496,TypeScript
2260,5496,VBA
2261,5497,Bash/Shell/PowerShell
2261,5497,JavaScript
2262,5501,C#
2262,5501,Other(s):
2263,5503,C
2263,5503,C++
2263,5503,HTML/CSS
2263,5503,Java
2263,5503,JavaScript
2263,5503,Kotlin
2263,5503,Python
2264,5504,HTML/CSS
2264,5504,JavaScript
2264,5504,TypeScript
2265,5507,C
2265,5507,C++
2265,5507,C#
2265,5507,HTML/CSS
2265,5507,JavaScript
2265,5507,PHP
2265,5507,SQL
2266,5509,C#
2267,5510,HTML/CSS
2267,5510,Java
2267,5510,JavaScript
2267,5510,PHP
2267,5510,SQL
2267,5510,TypeScript
2268,5512,Assembly
2268,5512,Bash/Shell/PowerShell
2268,5512,PHP
2268,5512,SQL
2269,5514,Bash/Shell/PowerShell
2269,5514,HTML/CSS
2269,5514,Java
2269,5514,JavaScript
2269,5514,PHP
2269,5514,SQL
2269,5514,TypeScript
2270,5515,Clojure
2270,5515,HTML/CSS
2270,5515,Java
2270,5515,JavaScript
2270,5515,SQL
2270,5515,Other(s):
2271,5517,HTML/CSS
2271,5517,Java
2271,5517,JavaScript
2272,5519,C#
2272,5519,HTML/CSS
2272,5519,JavaScript
2272,5519,Python
2272,5519,SQL
2272,5519,TypeScript
2272,5519,VBA
2273,5524,JavaScript
2274,5528,Ruby
2274,5528,SQL
2275,5529,Python
2275,5529,R
2275,5529,SQL
2276,5530,C#
2276,5530,HTML/CSS
2276,5530,JavaScript
2276,5530,SQL
2276,5530,TypeScript
2277,5533,Go
2277,5533,HTML/CSS
2277,5533,Python
2277,5533,Ruby
2277,5533,SQL
2278,5535,C
2278,5535,C++
2278,5535,Java
2278,5535,Python
2279,5538,HTML/CSS
2279,5538,JavaScript
2279,5538,PHP
2279,5538,SQL
2280,5539,Bash/Shell/PowerShell
2280,5539,HTML/CSS
2280,5539,JavaScript
2280,5539,Python
2280,5539,SQL
2281,5544,Dart
2281,5544,HTML/CSS
2281,5544,JavaScript
2281,5544,PHP
2282,5546,C#
2282,5546,Java
2282,5546,JavaScript
2282,5546,PHP
2282,5546,SQL
2283,5549,C#
2283,5549,Python
2283,5549,Rust
2283,5549,Other(s):
2284,5550,Bash/Shell/PowerShell
2284,5550,C#
2284,5550,HTML/CSS
2284,5550,JavaScript
2284,5550,SQL
2285,5552,HTML/CSS
2285,5552,JavaScript
2285,5552,PHP
2285,5552,Python
2285,5552,Scala
2286,5555,Python
2286,5555,R
2286,5555,SQL
2287,5556,C++
2287,5556,C#
2287,5556,HTML/CSS
2287,5556,Java
2287,5556,JavaScript
2287,5556,SQL
2287,5556,TypeScript
2288,5557,Elixir
2288,5557,HTML/CSS
2288,5557,JavaScript
2288,5557,TypeScript
2289,5559,Dart
2289,5559,Java
2289,5559,JavaScript
2289,5559,Objective-C
2289,5559,Python
2289,5559,Swift
2290,5560,Java
2290,5560,SQL
2291,5561,Bash/Shell/PowerShell
2291,5561,Python
2292,5562,HTML/CSS
2292,5562,Java
2292,5562,JavaScript
2292,5562,Python
2292,5562,R
2292,5562,SQL
2293,5563,Bash/Shell/PowerShell
2293,5563,C#
2293,5563,TypeScript
2294,5565,Bash/Shell/PowerShell
2294,5565,C#
2295,5566,HTML/CSS
2295,5566,Java
2295,5566,JavaScript
2295,5566,SQL
2296,5567,HTML/CSS
2296,5567,JavaScript
2296,5567,PHP
2296,5567,TypeScript
2297,5572,HTML/CSS
2297,5572,Java
2297,5572,JavaScript
2297,5572,SQL
2298,5573,C#
2298,5573,SQL
2299,5575,Bash/Shell/PowerShell
2299,5575,C#
2299,5575,HTML/CSS
2299,5575,JavaScript
2299,5575,PHP
2299,5575,Python
2299,5575,SQL
2300,5578,Assembly
2300,5578,Bash/Shell/PowerShell
2300,5578,C
2300,5578,C#
2300,5578,Go
2300,5578,HTML/CSS
2300,5578,JavaScript
2300,5578,Rust
2300,5578,SQL
2300,5578,TypeScript
2300,5578,WebAssembly
2301,5581,Java
2301,5581,JavaScript
2301,5581,Objective-C
2301,5581,TypeScript
2302,5582,Bash/Shell/PowerShell
2302,5582,Go
2302,5582,HTML/CSS
2302,5582,JavaScript
2302,5582,Python
2302,5582,Ruby
2302,5582,SQL
2303,5583,Bash/Shell/PowerShell
2303,5583,C#
2303,5583,HTML/CSS
2303,5583,TypeScript
2304,5585,Bash/Shell/PowerShell
2304,5585,C#
2304,5585,HTML/CSS
2304,5585,JavaScript
2304,5585,TypeScript
2305,5591,C#
2305,5591,HTML/CSS
2305,5591,JavaScript
2305,5591,SQL
2306,5595,Bash/Shell/PowerShell
2306,5595,C
2306,5595,HTML/CSS
2306,5595,JavaScript
2306,5595,PHP
2306,5595,TypeScript
2307,5596,Java
2307,5596,Kotlin
2308,5597,C#
2308,5597,HTML/CSS
2308,5597,PHP
2308,5597,SQL
2308,5597,VBA
2309,5599,C#
2309,5599,HTML/CSS
2309,5599,JavaScript
2309,5599,SQL
2309,5599,TypeScript
2310,5600,Bash/Shell/PowerShell
2310,5600,Clojure
2310,5600,HTML/CSS
2310,5600,JavaScript
2310,5600,Python
2310,5600,TypeScript
2311,5601,HTML/CSS
2311,5601,JavaScript
2311,5601,Ruby
2312,5602,C#
2312,5602,JavaScript
2313,5608,C#
2313,5608,Java
2313,5608,Kotlin
2314,5612,Elixir
2314,5612,HTML/CSS
2314,5612,JavaScript
2314,5612,PHP
2314,5612,Python
2314,5612,Ruby
2314,5612,SQL
2315,5615,HTML/CSS
2315,5615,Java
2315,5615,JavaScript
2315,5615,Kotlin
2315,5615,PHP
2315,5615,Ruby
2315,5615,SQL
2315,5615,Swift
2316,5618,Bash/Shell/PowerShell
2316,5618,C
2316,5618,C++
2316,5618,Python
2317,5620,C
2317,5620,C#
2317,5620,Go
2317,5620,HTML/CSS
2317,5620,Java
2317,5620,JavaScript
2317,5620,Python
2317,5620,Ruby
2317,5620,TypeScript
2318,5622,Assembly
2318,5622,Bash/Shell/PowerShell
2318,5622,C
2318,5622,C++
2318,5622,Java
2318,5622,JavaScript
2318,5622,Python
2318,5622,SQL
2319,5623,HTML/CSS
2319,5623,JavaScript
2320,5626,HTML/CSS
2320,5626,JavaScript
2320,5626,Python
2320,5626,Swift
2320,5626,TypeScript
2320,5626,VBA
2321,5628,Assembly
2321,5628,C
2321,5628,HTML/CSS
2321,5628,JavaScript
2321,5628,Python
2321,5628,SQL
2321,5628,VBA
2322,5632,C#
2322,5632,HTML/CSS
2322,5632,JavaScript
2322,5632,PHP
2322,5632,Python
2322,5632,SQL
2322,5632,Other(s):
2323,5634,HTML/CSS
2323,5634,JavaScript
2323,5634,PHP
2324,5639,C#
2324,5639,HTML/CSS
2324,5639,Python
2324,5639,SQL
2325,5640,Bash/Shell/PowerShell
2325,5640,Java
2325,5640,JavaScript
2325,5640,SQL
2326,5641,Bash/Shell/PowerShell
2326,5641,C#
2326,5641,HTML/CSS
2326,5641,Java
2326,5641,JavaScript
2326,5641,SQL
2327,5642,Bash/Shell/PowerShell
2327,5642,Go
2327,5642,HTML/CSS
2327,5642,JavaScript
2327,5642,Python
2328,5643,Bash/Shell/PowerShell
2328,5643,C#
2328,5643,HTML/CSS
2328,5643,Java
2328,5643,JavaScript
2328,5643,SQL
2329,5644,C#
2329,5644,HTML/CSS
2329,5644,JavaScript
2329,5644,Python
2329,5644,SQL
2330,5647,Bash/Shell/PowerShell
2330,5647,HTML/CSS
2330,5647,Java
2330,5647,JavaScript
2330,5647,SQL
2330,5647,TypeScript
