,Respondent,LanguageDesireNextYear
597,1404,SQL
598,1405,Dart
598,1405,Go
598,1405,JavaScript
598,1405,Kotlin
598,1405,Python
598,1405,Scala
599,1409,Dart
599,1409,Go
599,1409,HTML/CSS
599,1409,Java
599,1409,JavaScript
599,1409,Python
599,1409,Rust
599,1409,TypeScript
600,1415,C#
600,1415,HTML/CSS
600,1415,JavaScript
600,1415,PHP
600,1415,TypeScript
601,1418,C
601,1418,Elixir
601,1418,Java
601,1418,JavaScript
601,1418,Kotlin
601,1418,Python
601,1418,Rust
601,1418,Swift
602,1419,C++
602,1419,C#
602,1419,JavaScript
602,1419,TypeScript
603,1421,F#
603,1421,Kotlin
603,1421,R
603,1421,SQL
603,1421,WebAssembly
604,1423,Clojure
604,1423,Other(s):
605,1425,Python
605,1425,SQL
606,1431,HTML/CSS
606,1431,Java
606,1431,JavaScript
606,1431,Python
607,1433,Bash/Shell/PowerShell
607,1433,Java
607,1433,JavaScript
607,1433,Python
607,1433,SQL
608,1437,C#
608,1437,HTML/CSS
608,1437,Rust
608,1437,TypeScript
609,1438,JavaScript
609,1438,PHP
609,1438,Python
609,1438,R
609,1438,SQL
610,1439,Go
610,1439,HTML/CSS
610,1439,JavaScript
610,1439,PHP
610,1439,SQL
611,1441,C#
611,1441,Rust
612,1443,Bash/Shell/PowerShell
612,1443,Python
612,1443,Rust
612,1443,SQL
612,1443,TypeScript
613,1445,C
613,1445,C++
613,1445,C#
613,1445,Java
613,1445,Kotlin
614,1453,Bash/Shell/PowerShell
614,1453,HTML/CSS
614,1453,Java
614,1453,JavaScript
614,1453,Python
614,1453,R
614,1453,Scala
614,1453,SQL
614,1453,TypeScript
614,1453,VBA
615,1454,Bash/Shell/PowerShell
615,1454,C#
615,1454,HTML/CSS
615,1454,Java
615,1454,JavaScript
615,1454,Kotlin
615,1454,SQL
615,1454,TypeScript
615,1454,WebAssembly
616,1459,HTML/CSS
616,1459,JavaScript
617,1462,Python
618,1469,C++
619,1473,Clojure
619,1473,Elixir
619,1473,Erlang
619,1473,F#
619,1473,Go
619,1473,Java
619,1473,JavaScript
619,1473,Kotlin
619,1473,Python
619,1473,Rust
619,1473,Scala
619,1473,SQL
619,1473,TypeScript
620,1474,HTML/CSS
620,1474,Python
621,1475,C#
621,1475,JavaScript
621,1475,R
621,1475,Scala
621,1475,VBA
622,1477,HTML/CSS
622,1477,JavaScript
622,1477,Python
622,1477,TypeScript
622,1477,WebAssembly
623,1480,C#
623,1480,Go
623,1480,Java
623,1480,JavaScript
623,1480,Kotlin
623,1480,Rust
624,1481,Java
624,1481,JavaScript
625,1482,Clojure
625,1482,Java
625,1482,Scala
626,1485,Bash/Shell/PowerShell
626,1485,C
626,1485,Clojure
626,1485,HTML/CSS
626,1485,JavaScript
626,1485,Python
626,1485,SQL
627,1486,Bash/Shell/PowerShell
627,1486,C#
627,1486,HTML/CSS
627,1486,JavaScript
627,1486,Python
627,1486,SQL
628,1487,C#
628,1487,Dart
628,1487,Go
628,1487,HTML/CSS
628,1487,JavaScript
628,1487,SQL
629,1490,HTML/CSS
629,1490,JavaScript
629,1490,Other(s):
630,1491,C#
630,1491,Java
630,1491,Scala
630,1491,SQL
630,1491,Swift
630,1491,TypeScript
631,1492,C++
631,1492,C#
631,1492,Go
631,1492,JavaScript
631,1492,Python
631,1492,TypeScript
632,1493,JavaScript
632,1493,Python
633,1494,Bash/Shell/PowerShell
633,1494,C#
633,1494,HTML/CSS
633,1494,JavaScript
633,1494,PHP
633,1494,SQL
634,1497,Go
634,1497,Java
634,1497,JavaScript
634,1497,Scala
634,1497,TypeScript
635,1500,
636,1501,Kotlin
636,1501,Objective-C
636,1501,PHP
636,1501,Swift
636,1501,WebAssembly
637,1503,C
637,1503,JavaScript
637,1503,Python
637,1503,Rust
638,1505,Bash/Shell/PowerShell
638,1505,Elixir
638,1505,Erlang
638,1505,HTML/CSS
638,1505,Java
638,1505,Kotlin
638,1505,Ruby
638,1505,Scala
639,1509,Bash/Shell/PowerShell
639,1509,C
639,1509,HTML/CSS
639,1509,JavaScript
639,1509,Python
639,1509,SQL
640,1511,C++
640,1511,TypeScript
640,1511,WebAssembly
641,1514,
642,1515,Bash/Shell/PowerShell
642,1515,Python
642,1515,Ruby
643,1516,Go
644,1517,Bash/Shell/PowerShell
644,1517,C
644,1517,Go
644,1517,Python
644,1517,Rust
644,1517,Scala
644,1517,SQL
644,1517,WebAssembly
644,1517,Other(s):
645,1520,Bash/Shell/PowerShell
645,1520,Python
645,1520,Other(s):
646,1521,C#
646,1521,Java
646,1521,SQL
646,1521,VBA
647,1522,Go
647,1522,HTML/CSS
647,1522,JavaScript
648,1524,
649,1525,Go
649,1525,HTML/CSS
649,1525,JavaScript
649,1525,SQL
649,1525,Swift
650,1529,Go
651,1530,C++
651,1530,C#
651,1530,Java
651,1530,Kotlin
651,1530,Swift
652,1531,Clojure
652,1531,Erlang
652,1531,Go
652,1531,HTML/CSS
652,1531,JavaScript
652,1531,Kotlin
652,1531,Python
652,1531,Rust
652,1531,Swift
652,1531,WebAssembly
653,1532,Go
653,1532,JavaScript
654,1533,Bash/Shell/PowerShell
654,1533,C#
654,1533,HTML/CSS
654,1533,Java
654,1533,JavaScript
654,1533,Scala
654,1533,TypeScript
655,1534,C#
655,1534,F#
655,1534,HTML/CSS
655,1534,JavaScript
655,1534,SQL
655,1534,TypeScript
655,1534,WebAssembly
656,1535,Bash/Shell/PowerShell
656,1535,Elixir
656,1535,Go
656,1535,Java
656,1535,Ruby
656,1535,SQL
657,1538,C#
657,1538,HTML/CSS
657,1538,JavaScript
657,1538,SQL
657,1538,TypeScript
658,1541,Rust
658,1541,SQL
658,1541,Swift
658,1541,TypeScript
659,1543,Dart
659,1543,HTML/CSS
659,1543,Java
659,1543,JavaScript
659,1543,Kotlin
659,1543,PHP
659,1543,SQL
660,1546,Bash/Shell/PowerShell
660,1546,C#
660,1546,SQL
661,1557,C#
661,1557,Java
661,1557,TypeScript
662,1559,Go
663,1561,C++
663,1561,HTML/CSS
663,1561,JavaScript
663,1561,SQL
663,1561,TypeScript
663,1561,WebAssembly
664,1571,Dart
664,1571,Elixir
664,1571,Erlang
664,1571,Go
664,1571,HTML/CSS
664,1571,Java
664,1571,JavaScript
664,1571,Kotlin
664,1571,Python
664,1571,Ruby
664,1571,Rust
664,1571,Swift
664,1571,TypeScript
665,1572,Bash/Shell/PowerShell
665,1572,C#
665,1572,HTML/CSS
665,1572,Java
665,1572,JavaScript
665,1572,SQL
665,1572,TypeScript
666,1579,Go
666,1579,JavaScript
666,1579,PHP
666,1579,Ruby
666,1579,SQL
667,1580,Bash/Shell/PowerShell
667,1580,Python
667,1580,Rust
667,1580,SQL
668,1584,C++
668,1584,C#
668,1584,JavaScript
668,1584,SQL
668,1584,TypeScript
669,1589,Bash/Shell/PowerShell
669,1589,Java
670,1593,HTML/CSS
670,1593,JavaScript
670,1593,Python
670,1593,Rust
670,1593,TypeScript
670,1593,WebAssembly
671,1600,Bash/Shell/PowerShell
671,1600,C++
671,1600,Go
671,1600,Java
671,1600,Python
671,1600,Swift
672,1602,Bash/Shell/PowerShell
672,1602,HTML/CSS
672,1602,JavaScript
672,1602,Python
673,1605,C++
673,1605,Python
674,1608,Bash/Shell/PowerShell
674,1608,Clojure
674,1608,Java
674,1608,Kotlin
675,1612,C
675,1612,C++
675,1612,VBA
676,1614,HTML/CSS
676,1614,JavaScript
676,1614,Python
676,1614,TypeScript
677,1615,C#
677,1615,HTML/CSS
677,1615,JavaScript
677,1615,Other(s):
678,1616,C++
678,1616,HTML/CSS
678,1616,JavaScript
678,1616,Python
679,1619,Bash/Shell/PowerShell
679,1619,C#
679,1619,HTML/CSS
679,1619,JavaScript
679,1619,SQL
679,1619,TypeScript
680,1620,Assembly
680,1620,HTML/CSS
680,1620,JavaScript
680,1620,Python
680,1620,TypeScript
681,1622,C++
681,1622,Python
682,1625,Go
682,1625,PHP
682,1625,Rust
682,1625,SQL
683,1627,C#
683,1627,HTML/CSS
683,1627,Java
683,1627,JavaScript
683,1627,Python
684,1628,Bash/Shell/PowerShell
684,1628,C#
684,1628,Java
684,1628,JavaScript
684,1628,Kotlin
684,1628,Python
684,1628,Rust
684,1628,Scala
684,1628,Swift
684,1628,TypeScript
685,1629,C#
685,1629,Java
685,1629,Python
685,1629,SQL
686,1630,C++
686,1630,C#
686,1630,SQL
687,1632,Bash/Shell/PowerShell
687,1632,C
687,1632,C++
687,1632,HTML/CSS
687,1632,Java
687,1632,JavaScript
687,1632,Python
688,1639,Go
688,1639,HTML/CSS
688,1639,Java
688,1639,JavaScript
688,1639,Python
688,1639,Rust
688,1639,Scala
688,1639,TypeScript
689,1641,Assembly
689,1641,HTML/CSS
689,1641,JavaScript
689,1641,Kotlin
689,1641,Scala
689,1641,SQL
690,1642,HTML/CSS
690,1642,Java
690,1642,JavaScript
690,1642,PHP
690,1642,SQL
691,1643,Elixir
691,1643,Erlang
691,1643,Java
691,1643,JavaScript
691,1643,WebAssembly
692,1647,C#
692,1647,Rust
692,1647,SQL
693,1648,HTML/CSS
693,1648,JavaScript
693,1648,Python
693,1648,TypeScript
693,1648,WebAssembly
693,1648,Other(s):
694,1650,Bash/Shell/PowerShell
694,1650,C++
694,1650,Java
694,1650,JavaScript
694,1650,TypeScript
695,1651,Go
695,1651,Python
696,1652,Bash/Shell/PowerShell
696,1652,Clojure
696,1652,Elixir
696,1652,Erlang
696,1652,HTML/CSS
696,1652,JavaScript
696,1652,Python
696,1652,TypeScript
697,1654,HTML/CSS
697,1654,Java
697,1654,JavaScript
697,1654,Kotlin
697,1654,Ruby
697,1654,TypeScript
698,1664,Bash/Shell/PowerShell
698,1664,Clojure
698,1664,HTML/CSS
698,1664,JavaScript
698,1664,Rust
698,1664,SQL
698,1664,WebAssembly
698,1664,Other(s):
699,1666,Bash/Shell/PowerShell
699,1666,C#
699,1666,Python
699,1666,SQL
700,1668,HTML/CSS
700,1668,JavaScript
700,1668,TypeScript
700,1668,WebAssembly
701,1673,C++
701,1673,C#
701,1673,Dart
701,1673,Go
701,1673,HTML/CSS
701,1673,JavaScript
701,1673,Python
701,1673,Rust
701,1673,SQL
701,1673,TypeScript
701,1673,WebAssembly
702,1674,Bash/Shell/PowerShell
702,1674,Go
702,1674,HTML/CSS
702,1674,JavaScript
702,1674,Python
702,1674,Rust
702,1674,SQL
702,1674,Swift
703,1675,Bash/Shell/PowerShell
703,1675,Java
703,1675,Python
703,1675,R
703,1675,SQL
703,1675,TypeScript
704,1676,C
704,1676,C++
704,1676,HTML/CSS
704,1676,Java
704,1676,JavaScript
704,1676,Kotlin
704,1676,Objective-C
704,1676,Python
704,1676,Ruby
704,1676,Swift
704,1676,TypeScript
705,1677,Erlang
705,1677,HTML/CSS
705,1677,Java
705,1677,JavaScript
705,1677,Python
705,1677,R
705,1677,SQL
705,1677,TypeScript
706,1679,Dart
706,1679,Kotlin
706,1679,TypeScript
707,1681,HTML/CSS
707,1681,JavaScript
707,1681,Kotlin
707,1681,PHP
707,1681,Python
707,1681,SQL
707,1681,Swift
708,1682,HTML/CSS
708,1682,JavaScript
708,1682,Ruby
709,1689,
710,1690,Go
711,1692,C#
711,1692,Python
711,1692,SQL
712,1694,Assembly
712,1694,C#
712,1694,Go
712,1694,HTML/CSS
712,1694,Java
712,1694,JavaScript
712,1694,PHP
712,1694,Python
712,1694,R
712,1694,Ruby
712,1694,Scala
712,1694,TypeScript
713,1695,HTML/CSS
713,1695,JavaScript
713,1695,TypeScript
714,1696,Java
714,1696,Kotlin
714,1696,R
714,1696,SQL
715,1703,PHP
715,1703,Python
715,1703,SQL
716,1706,JavaScript
716,1706,Kotlin
716,1706,Ruby
716,1706,Swift
717,1712,Go
717,1712,Rust
718,1714,Go
718,1714,Python
718,1714,Rust
719,1716,Bash/Shell/PowerShell
719,1716,C++
719,1716,Dart
719,1716,HTML/CSS
719,1716,Java
719,1716,JavaScript
719,1716,PHP
719,1716,Python
719,1716,SQL
719,1716,TypeScript
720,1723,Kotlin
720,1723,SQL
721,1727,C++
721,1727,C#
721,1727,TypeScript
721,1727,WebAssembly
722,1730,HTML/CSS
722,1730,Java
722,1730,JavaScript
722,1730,SQL
723,1731,PHP
723,1731,Python
724,1733,Go
724,1733,Java
724,1733,JavaScript
724,1733,Python
724,1733,Rust
725,1735,Bash/Shell/PowerShell
725,1735,C++
725,1735,HTML/CSS
725,1735,Java
725,1735,JavaScript
725,1735,Scala
725,1735,SQL
726,1736,Bash/Shell/PowerShell
726,1736,C#
726,1736,Dart
726,1736,Elixir
726,1736,JavaScript
726,1736,Kotlin
726,1736,Python
726,1736,Rust
726,1736,TypeScript
727,1742,HTML/CSS
727,1742,Java
727,1742,JavaScript
727,1742,Kotlin
727,1742,Scala
727,1742,SQL
727,1742,TypeScript
728,1743,C
728,1743,C++
728,1743,Go
728,1743,Python
728,1743,Swift
729,1744,HTML/CSS
729,1744,Java
729,1744,JavaScript
729,1744,Scala
729,1744,Swift
729,1744,TypeScript
730,1748,Bash/Shell/PowerShell
730,1748,Go
730,1748,Kotlin
730,1748,Swift
730,1748,TypeScript
731,1749,JavaScript
731,1749,SQL
731,1749,TypeScript
732,1751,Bash/Shell/PowerShell
732,1751,Dart
732,1751,Go
733,1752,C#
733,1752,Clojure
733,1752,F#
733,1752,HTML/CSS
733,1752,Java
733,1752,JavaScript
733,1752,Kotlin
733,1752,Objective-C
733,1752,Python
733,1752,SQL
733,1752,Swift
734,1753,Assembly
734,1753,Bash/Shell/PowerShell
734,1753,C
734,1753,C++
734,1753,HTML/CSS
734,1753,JavaScript
734,1753,Kotlin
734,1753,Python
734,1753,R
734,1753,Rust
735,1754,Bash/Shell/PowerShell
735,1754,C#
735,1754,Elixir
735,1754,Erlang
735,1754,F#
735,1754,Go
735,1754,HTML/CSS
735,1754,JavaScript
735,1754,Python
735,1754,Ruby
735,1754,SQL
735,1754,WebAssembly
736,1759,Elixir
736,1759,Go
736,1759,HTML/CSS
736,1759,JavaScript
736,1759,Ruby
736,1759,Rust
736,1759,Swift
736,1759,TypeScript
737,1761,Assembly
737,1761,Bash/Shell/PowerShell
737,1761,C
737,1761,Clojure
737,1761,Elixir
737,1761,Erlang
737,1761,JavaScript
737,1761,Python
737,1761,R
737,1761,SQL
737,1761,Other(s):
738,1764,C#
738,1764,HTML/CSS
738,1764,JavaScript
739,1766,Python
739,1766,Other(s):
740,1767,Bash/Shell/PowerShell
740,1767,C++
740,1767,Kotlin
740,1767,SQL
741,1769,Bash/Shell/PowerShell
741,1769,Go
741,1769,JavaScript
742,1770,Bash/Shell/PowerShell
742,1770,Elixir
742,1770,HTML/CSS
742,1770,JavaScript
742,1770,PHP
742,1770,Python
742,1770,SQL
743,1774,C#
743,1774,HTML/CSS
743,1774,Java
743,1774,JavaScript
743,1774,PHP
743,1774,Python
743,1774,SQL
743,1774,Swift
743,1774,TypeScript
743,1774,WebAssembly
743,1774,Other(s):
744,1777,C#
744,1777,HTML/CSS
744,1777,SQL
744,1777,TypeScript
745,1778,C#
745,1778,Java
745,1778,JavaScript
745,1778,SQL
745,1778,TypeScript
746,1779,HTML/CSS
746,1779,JavaScript
746,1779,PHP
746,1779,Python
746,1779,SQL
747,1781,Clojure
747,1781,Rust
747,1781,SQL
748,1783,Python
749,1784,C#
749,1784,Python
750,1787,Go
750,1787,HTML/CSS
750,1787,JavaScript
750,1787,PHP
750,1787,SQL
750,1787,TypeScript
751,1789,Bash/Shell/PowerShell
751,1789,C
751,1789,C++
751,1789,Python
752,1790,C#
752,1790,HTML/CSS
752,1790,JavaScript
752,1790,SQL
752,1790,TypeScript
753,1796,Go
753,1796,JavaScript
753,1796,Python
754,1797,C#
754,1797,Go
754,1797,HTML/CSS
754,1797,JavaScript
754,1797,PHP
754,1797,Python
754,1797,SQL
754,1797,TypeScript
754,1797,WebAssembly
755,1798,HTML/CSS
755,1798,Java
755,1798,JavaScript
755,1798,SQL
756,1802,Assembly
756,1802,Bash/Shell/PowerShell
756,1802,Elixir
756,1802,HTML/CSS
756,1802,JavaScript
756,1802,Ruby
756,1802,Rust
756,1802,Scala
756,1802,TypeScript
757,1803,C#
757,1803,F#
757,1803,Python
758,1805,C++
758,1805,C#
758,1805,HTML/CSS
758,1805,JavaScript
758,1805,TypeScript
758,1805,WebAssembly
759,1807,Go
759,1807,PHP
759,1807,Python
759,1807,SQL
760,1809,Assembly
760,1809,Bash/Shell/PowerShell
760,1809,C++
760,1809,C#
760,1809,Python
760,1809,Rust
760,1809,Other(s):
761,1810,Bash/Shell/PowerShell
761,1810,C
761,1810,Dart
761,1810,Elixir
761,1810,Go
761,1810,Rust
762,1811,Elixir
762,1811,Swift
763,1813,Elixir
763,1813,Go
763,1813,HTML/CSS
763,1813,JavaScript
763,1813,Kotlin
763,1813,Ruby
763,1813,Swift
764,1815,Assembly
764,1815,C++
764,1815,Go
764,1815,HTML/CSS
764,1815,Java
764,1815,JavaScript
764,1815,Python
764,1815,SQL
764,1815,TypeScript
765,1824,Go
765,1824,HTML/CSS
765,1824,JavaScript
765,1824,Python
765,1824,TypeScript
766,1826,Python
766,1826,Rust
766,1826,WebAssembly
767,1827,JavaScript
767,1827,Python
767,1827,Rust
767,1827,TypeScript
768,1830,C#
768,1830,R
768,1830,SQL
768,1830,Other(s):
769,1831,C#
769,1831,HTML/CSS
769,1831,JavaScript
769,1831,PHP
769,1831,Python
769,1831,SQL
769,1831,TypeScript
769,1831,WebAssembly
770,1832,Bash/Shell/PowerShell
770,1832,C#
770,1832,Dart
770,1832,F#
770,1832,Go
770,1832,JavaScript
770,1832,Kotlin
770,1832,Python
770,1832,Scala
770,1832,TypeScript
770,1832,WebAssembly
771,1834,C++
771,1834,C#
771,1834,HTML/CSS
771,1834,Java
771,1834,JavaScript
771,1834,Kotlin
771,1834,Objective-C
771,1834,PHP
771,1834,Ruby
771,1834,SQL
771,1834,Swift
771,1834,TypeScript
772,1835,C#
772,1835,HTML/CSS
772,1835,JavaScript
772,1835,SQL
773,1837,Elixir
773,1837,Go
773,1837,JavaScript
773,1837,Python
773,1837,Scala
773,1837,TypeScript
773,1837,WebAssembly
774,1841,Bash/Shell/PowerShell
774,1841,JavaScript
775,1843,C#
775,1843,JavaScript
775,1843,SQL
775,1843,TypeScript
776,1844,
777,1845,Bash/Shell/PowerShell
777,1845,C#
777,1845,HTML/CSS
777,1845,JavaScript
777,1845,Python
777,1845,SQL
778,1846,Clojure
778,1846,Go
778,1846,JavaScript
778,1846,Kotlin
778,1846,Rust
778,1846,Scala
778,1846,Swift
778,1846,TypeScript
779,1847,Dart
779,1847,Python
779,1847,TypeScript
779,1847,WebAssembly
780,1850,Bash/Shell/PowerShell
780,1850,C#
780,1850,HTML/CSS
780,1850,JavaScript
780,1850,SQL
780,1850,VBA
781,1851,Dart
781,1851,Scala
782,1852,Go
782,1852,Java
782,1852,Kotlin
782,1852,SQL
782,1852,TypeScript
783,1856,C#
783,1856,Swift
784,1860,HTML/CSS
784,1860,Java
784,1860,JavaScript
784,1860,Python
784,1860,Scala
784,1860,SQL
785,1861,Elixir
785,1861,Other(s):
786,1868,Go
786,1868,JavaScript
786,1868,Python
786,1868,Rust
787,1869,Clojure
787,1869,Go
787,1869,HTML/CSS
787,1869,JavaScript
787,1869,Python
788,1871,C#
788,1871,Dart
788,1871,Kotlin
789,1872,C++
789,1872,C#
789,1872,JavaScript
789,1872,Python
790,1878,C#
790,1878,F#
790,1878,Go
790,1878,HTML/CSS
790,1878,JavaScript
790,1878,Objective-C
790,1878,R
790,1878,SQL
791,1879,Bash/Shell/PowerShell
791,1879,JavaScript
791,1879,Python
791,1879,Rust
791,1879,SQL
792,1883,HTML/CSS
792,1883,Java
792,1883,JavaScript
792,1883,Scala
792,1883,SQL
793,1884,Go
793,1884,Python
793,1884,Other(s):
794,1885,Bash/Shell/PowerShell
794,1885,C++
794,1885,Go
794,1885,HTML/CSS
794,1885,Java
794,1885,Python
794,1885,Ruby
794,1885,SQL
794,1885,WebAssembly
795,1886,Java
795,1886,JavaScript
795,1886,Python
795,1886,SQL
796,1887,Bash/Shell/PowerShell
796,1887,C++
796,1887,Python
796,1887,SQL
797,1888,C++
797,1888,C#
797,1888,F#
797,1888,JavaScript
797,1888,TypeScript
798,1890,C#
798,1890,HTML/CSS
798,1890,JavaScript
798,1890,SQL
798,1890,TypeScript
799,1895,Assembly
799,1895,Bash/Shell/PowerShell
799,1895,C
799,1895,Go
799,1895,Java
799,1895,JavaScript
799,1895,Rust
799,1895,WebAssembly
800,1896,Bash/Shell/PowerShell
800,1896,C++
800,1896,Clojure
800,1896,Dart
800,1896,Go
800,1896,Java
800,1896,JavaScript
800,1896,Kotlin
800,1896,Python
800,1896,Ruby
800,1896,Scala
800,1896,SQL
800,1896,TypeScript
801,1897,Assembly
801,1897,C
801,1897,C++
801,1897,C#
801,1897,HTML/CSS
801,1897,JavaScript
801,1897,SQL
802,1899,C++
802,1899,C#
802,1899,Python
802,1899,Rust
802,1899,SQL
802,1899,WebAssembly
803,1902,Bash/Shell/PowerShell
803,1902,Go
803,1902,HTML/CSS
803,1902,JavaScript
803,1902,Python
803,1902,R
803,1902,Rust
803,1902,SQL
804,1903,Bash/Shell/PowerShell
804,1903,C#
804,1903,HTML/CSS
804,1903,JavaScript
804,1903,Python
804,1903,SQL
804,1903,TypeScript
804,1903,WebAssembly
805,1904,Elixir
805,1904,Erlang
805,1904,F#
805,1904,Go
805,1904,Python
805,1904,Other(s):
806,1906,Bash/Shell/PowerShell
806,1906,C#
806,1906,Elixir
806,1906,HTML/CSS
806,1906,JavaScript
806,1906,Python
806,1906,R
806,1906,Ruby
806,1906,SQL
807,1909,C++
807,1909,C#
807,1909,HTML/CSS
807,1909,JavaScript
807,1909,PHP
807,1909,SQL
807,1909,TypeScript
807,1909,WebAssembly
808,1911,Bash/Shell/PowerShell
808,1911,Elixir
808,1911,HTML/CSS
808,1911,SQL
808,1911,TypeScript
809,1914,Bash/Shell/PowerShell
809,1914,C#
809,1914,HTML/CSS
809,1914,JavaScript
809,1914,Kotlin
809,1914,SQL
810,1915,C#
810,1915,F#
810,1915,HTML/CSS
810,1915,JavaScript
810,1915,TypeScript
811,1917,
812,1922,HTML/CSS
812,1922,JavaScript
812,1922,TypeScript
812,1922,Other(s):
813,1923,Go
813,1923,Rust
813,1923,TypeScript
814,1933,Go
814,1933,JavaScript
814,1933,Python
815,1934,C#
815,1934,F#
815,1934,Rust
815,1934,Scala
815,1934,Other(s):
816,1935,C#
816,1935,Python
816,1935,SQL
816,1935,Other(s):
817,1943,C#
817,1943,Clojure
817,1943,Go
817,1943,JavaScript
817,1943,Kotlin
818,1946,C++
818,1946,C#
818,1946,Go
818,1946,Java
818,1946,Python
818,1946,Ruby
818,1946,TypeScript
819,1949,Dart
819,1949,Kotlin
819,1949,Other(s):
820,1952,JavaScript
820,1952,Python
820,1952,WebAssembly
821,1953,Bash/Shell/PowerShell
821,1953,C#
821,1953,HTML/CSS
821,1953,JavaScript
821,1953,Python
821,1953,R
821,1953,SQL
821,1953,VBA
822,1954,HTML/CSS
822,1954,JavaScript
822,1954,Objective-C
822,1954,PHP
823,1957,HTML/CSS
823,1957,JavaScript
823,1957,Swift
823,1957,TypeScript
824,1958,Bash/Shell/PowerShell
824,1958,HTML/CSS
824,1958,JavaScript
824,1958,Python
824,1958,SQL
824,1958,Other(s):
825,1959,Java
825,1959,JavaScript
825,1959,SQL
825,1959,TypeScript
826,1961,C
826,1961,C++
826,1961,C#
826,1961,Rust
826,1961,Swift
827,1962,C#
827,1962,HTML/CSS
827,1962,Java
827,1962,JavaScript
827,1962,TypeScript
828,1963,Go
828,1963,HTML/CSS
828,1963,JavaScript
828,1963,Python
828,1963,Rust
828,1963,WebAssembly
829,1967,Bash/Shell/PowerShell
829,1967,C#
829,1967,F#
829,1967,Go
829,1967,HTML/CSS
829,1967,Java
829,1967,JavaScript
829,1967,Scala
829,1967,SQL
830,1968,Assembly
830,1968,C++
831,1970,C#
831,1970,F#
831,1970,HTML/CSS
831,1970,JavaScript
831,1970,PHP
831,1970,Python
831,1970,TypeScript
832,1974,JavaScript
832,1974,Rust
832,1974,Scala
832,1974,SQL
832,1974,TypeScript
833,1975,Bash/Shell/PowerShell
833,1975,C#
833,1975,HTML/CSS
833,1975,JavaScript
833,1975,SQL
833,1975,TypeScript
833,1975,WebAssembly
834,1976,C#
834,1976,HTML/CSS
834,1976,JavaScript
834,1976,SQL
834,1976,WebAssembly
835,1977,Bash/Shell/PowerShell
835,1977,C#
835,1977,HTML/CSS
835,1977,Java
835,1977,JavaScript
835,1977,Python
835,1977,SQL
835,1977,Swift
835,1977,TypeScript
836,1978,C
836,1978,C++
836,1978,Go
836,1978,Python
836,1978,TypeScript
836,1978,Other(s):
837,1979,Bash/Shell/PowerShell
837,1979,C#
837,1979,HTML/CSS
837,1979,Java
837,1979,JavaScript
837,1979,TypeScript
838,1981,HTML/CSS
838,1981,JavaScript
838,1981,PHP
838,1981,SQL
839,1982,Bash/Shell/PowerShell
839,1982,HTML/CSS
839,1982,Java
839,1982,JavaScript
839,1982,Python
839,1982,SQL
839,1982,WebAssembly
840,1983,HTML/CSS
840,1983,JavaScript
840,1983,Python
840,1983,Ruby
840,1983,TypeScript
841,1986,C++
841,1986,C#
841,1986,Python
841,1986,WebAssembly
842,1992,Assembly
842,1992,F#
842,1992,Kotlin
843,1993,
844,1997,Bash/Shell/PowerShell
844,1997,C++
844,1997,C#
844,1997,HTML/CSS
844,1997,Java
844,1997,JavaScript
844,1997,Python
844,1997,TypeScript
844,1997,Other(s):
845,2001,Bash/Shell/PowerShell
845,2001,Go
845,2001,JavaScript
845,2001,Python
845,2001,TypeScript
846,2003,HTML/CSS
846,2003,JavaScript
846,2003,Ruby
846,2003,SQL
847,2005,JavaScript
847,2005,WebAssembly
848,2009,Bash/Shell/PowerShell
848,2009,C#
848,2009,Go
848,2009,SQL
849,2012,JavaScript
849,2012,TypeScript
850,2013,F#
850,2013,Other(s):
851,2017,C
851,2017,C++
851,2017,JavaScript
851,2017,Rust
851,2017,WebAssembly
851,2017,Other(s):
852,2020,C#
852,2020,SQL
853,2021,HTML/CSS
853,2021,JavaScript
853,2021,PHP
853,2021,Python
853,2021,SQL
853,2021,TypeScript
854,2022,C#
854,2022,HTML/CSS
854,2022,Kotlin
855,2023,Bash/Shell/PowerShell
855,2023,Go
855,2023,HTML/CSS
855,2023,JavaScript
855,2023,PHP
855,2023,Python
855,2023,Ruby
855,2023,SQL
856,2024,Elixir
856,2024,Go
856,2024,Objective-C
856,2024,Rust
856,2024,Swift
857,2025,Bash/Shell/PowerShell
857,2025,Java
857,2025,JavaScript
857,2025,SQL
858,2028,Bash/Shell/PowerShell
858,2028,Java
858,2028,Kotlin
859,2030,C#
859,2030,HTML/CSS
859,2030,JavaScript
859,2030,SQL
860,2031,Bash/Shell/PowerShell
860,2031,C#
860,2031,JavaScript
860,2031,Python
860,2031,R
860,2031,SQL
860,2031,TypeScript
860,2031,WebAssembly
861,2032,C#
861,2032,HTML/CSS
861,2032,Java
861,2032,Python
861,2032,SQL
861,2032,Other(s):
862,2033,C#
862,2033,HTML/CSS
862,2033,JavaScript
862,2033,TypeScript
862,2033,Other(s):
863,2035,Clojure
863,2035,Elixir
863,2035,Python
863,2035,SQL
864,2037,Dart
864,2037,HTML/CSS
864,2037,Java
864,2037,JavaScript
864,2037,Rust
864,2037,TypeScript
865,2044,C#
865,2044,SQL
866,2047,Bash/Shell/PowerShell
866,2047,Go
866,2047,HTML/CSS
866,2047,JavaScript
866,2047,Python
866,2047,TypeScript
867,2049,C#
867,2049,Go
867,2049,JavaScript
867,2049,SQL
867,2049,TypeScript
868,2053,Java
